Time,Amount,merchant_risk,device_risk,international,card_age_days,num_items,online_order,Class
15422,7.42,0.241,0.799,0,1565,1,1,0
133739,5.95,0.473,0.164,0,1310,7,0,0
113109,62.17,0.538,0.759,0,515,7,0,0
75838,30.6,0.523,0.411,0,132,4,1,0
74825,20.93,0.472,0.0,0,589,5,1,0
148365,12.6,0.323,0.351,0,591,6,1,0
14851,7.87,0.007,0.387,1,489,2,0,0
120505,23.44,0.0,0.0,0,97,7,1,0
34813,254.74,0.216,0.347,0,1164,3,0,0
16273,60.87,0.635,0.48,0,77,2,0,0
90975,8.52,0.151,0.664,0,1494,7,1,0
168587,72.28,0.317,0.435,0,1368,1,0,0
127138,15.13,0.045,0.864,0,1460,3,0,0
131524,38.54,0.655,0.469,0,1701,7,0,0
123980,25.76,0.0,0.652,0,445,6,0,0
135831,255.74,0.286,0.425,0,1780,5,1,0
88685,12.71,0.359,0.0,0,1117,4,0,0
22138,40.27,0.328,0.091,0,1341,4,0,0
145108,18.91,0.025,0.531,0,200,5,1,0
77826,66.96,0.389,0.824,0,1765,3,1,0
86460,48.01,0.0,0.629,0,493,2,0,0
64073,124.19,0.151,0.0,0,653,6,0,0
31544,67.45,0.269,0.505,0,1614,3,1,0
160144,10.95,0.013,0.105,0,653,3,1,0
135054,615.18,0.279,0.262,1,1648,1,0,0
111259,57.67,0.245,0.38,0,488,7,0,0
69537,26.78,0.463,0.471,0,1609,3,0,0
142173,40.94,0.208,0.176,0,1483,5,0,0
94250,61.88,0.072,0.121,1,153,3,1,0
76621,60.39,0.0,0.203,0,430,6,1,0
77839,55.92,0.304,0.121,1,398,1,1,0
39266,77.14,0.019,0.287,0,569,6,1,0
15921,74.84,0.0,0.649,0,1024,3,1,0
95832,19.72,0.554,0.0,0,1047,6,1,0
153427,269.35,0.384,0.758,0,1617,3,1,0
11027,237.05,0.126,0.2,0,57,5,0,0
148312,72.63,0.433,0.081,1,1316,7,1,0
143014,30.99,0.0,0.479,0,1690,4,0,0
47824,34.21,0.566,0.484,0,53,6,1,0
109151,18.85,0.0,0.563,0,1467,4,1,0
28551,19.86,0.239,0.12,0,1736,7,1,0
130997,4.75,0.352,0.616,0,377,4,0,0
121050,161.03,0.0,0.443,0,796,3,0,0
61262,111.23,0.231,0.552,0,401,3,1,0
11736,10.03,0.429,0.408,0,1809,1,0,0
167736,85.91,0.348,0.383,0,1316,7,0,0
77014,33.89,0.297,0.356,1,1770,2,1,0
154331,27.26,0.151,0.176,0,871,1,0,0
117144,49.91,0.259,0.214,0,910,5,1,0
134504,9.74,0.233,0.415,0,995,4,0,0
131310,34.13,0.096,0.269,0,1548,4,0,0
33633,32.41,0.485,0.0,0,1105,5,0,0
62882,34.31,0.0,0.518,1,373,3,0,0
80649,2.8,0.276,0.681,0,1033,1,1,0
86018,54.4,0.474,0.244,0,1824,5,0,0
7569,103.29,0.24,0.0,0,162,7,1,0
94447,44.12,0.407,0.291,0,1510,6,1,0
26661,31.56,0.006,0.409,0,272,1,1,0
128455,493.42,0.2,0.117,0,1762,5,1,0
118030,7.32,0.298,0.431,0,75,3,0,0
159412,61.43,0.258,0.358,0,499,5,1,0
128694,42.55,0.289,0.291,1,1703,1,1,0
63355,246.85,0.0,0.462,0,504,2,0,0
167185,47.65,0.0,0.484,1,1147,5,1,0
70994,66.04,0.389,0.362,0,1741,5,0,0
56302,53.15,0.189,0.439,0,1719,3,1,0
156476,23.59,0.22,0.226,0,528,1,1,0
64015,6.21,0.129,0.351,0,1188,4,1,0
13192,20.8,0.236,0.514,0,1161,7,1,0
81139,81.9,0.23,0.047,0,610,2,0,0
137493,40.87,0.843,0.344,0,1576,4,0,0
32740,34.03,0.639,0.334,0,1120,1,1,0
79996,125.02,0.297,0.144,0,1207,5,1,0
22450,1.0,0.19,0.605,0,792,6,0,0
118623,5.89,0.512,0.134,1,112,6,1,0
82201,2.28,0.178,0.0,0,290,2,1,0
57057,111.67,0.12,0.0,0,1402,2,1,0
39209,28.11,0.048,0.485,0,177,5,0,0
97545,80.59,0.0,0.08,0,371,1,0,0
115743,29.2,0.791,0.053,0,31,3,0,0
162484,99.3,0.138,0.633,0,74,3,0,0
75539,33.75,0.132,0.524,0,1288,4,1,0
27766,47.61,0.442,0.236,0,754,4,1,0
143886,43.46,0.216,0.0,0,654,2,0,0
108823,48.92,0.0,0.067,0,1084,5,1,0
121005,182.95,0.029,0.175,0,1276,7,1,0
16800,14.2,0.354,0.113,1,1618,1,0,0
53976,32.27,0.013,0.858,0,1397,7,1,0
132683,34.5,0.429,0.0,0,1370,3,0,0
143814,27.1,0.227,0.678,0,1377,5,1,0
75205,25.26,0.391,0.505,0,218,1,1,0
139063,12.16,0.39,0.051,0,485,2,0,0
145444,157.01,0.436,0.435,0,1747,1,1,0
66956,27.87,0.356,0.119,1,368,2,0,0
155189,373.08,0.345,0.659,0,901,6,0,0
49823,58.73,0.268,0.394,0,1393,6,0,0
41395,19.67,0.189,0.509,1,1555,7,0,0
117935,59.91,0.174,0.418,0,1382,7,1,0
110032,37.84,0.241,0.799,1,1353,6,1,0
24149,117.22,0.614,0.289,0,1732,1,0,0
143896,17.38,0.29,0.408,0,431,3,0,0
34544,11.94,0.293,0.213,0,1258,2,0,0
139086,52.27,0.0,0.134,0,1552,5,0,0
1272,81.24,0.403,0.395,1,1145,5,1,0
137694,40.43,0.383,0.277,1,82,5,0,0
135980,70.67,0.383,0.0,0,479,2,0,0
134846,59.79,0.548,0.303,0,1622,4,0,0
114886,1.0,0.259,0.551,0,1672,7,1,0
81486,39.04,0.428,0.0,0,1131,5,1,0
121852,119.78,0.222,0.422,0,656,4,0,0
