user_id,purchase_value,device_id,age,ip_address,class,lower_bound_ip_address,upper_bound_ip_address,time_since_signup,hour_of_day,day_of_week,user_tx_count,device_tx_count,transaction_velocity,source_Direct,source_SEO,browser_FireFox,browser_IE,browser_Opera,browser_Safari,sex_M,country_Brazil,country_Canada,country_France,country_Germany,country_India,country_United Kingdom,country_United States
8,47,SCQGQALXBUQZJ,25,356056736,0,350000000.0,399999999.0,6667201.0,11,3,1,1,,False,True,False,False,False,False,True,True,False,False,False,False,False,False
64,15,QOOCCLKFDGFHY,19,433200491,0,400000000.0,449999999.0,4518193.0,18,3,1,1,,False,True,False,False,False,True,True,False,False,False,False,True,False,False
148,46,QQYHWAHYABKHI,26,328390493,0,300000000.0,349999999.0,4971984.0,0,3,1,1,,True,False,False,False,False,True,True,False,False,True,False,False,False,False
153,18,SCWDWHYNNNULH,35,293136018,1,250000000.0,299999999.0,1701001.0,7,5,1,1,,False,False,False,False,False,False,True,False,False,False,True,False,False,False
166,17,NYMGAADTQGCOH,31,293445406,0,250000000.0,299999999.0,5847711.0,0,5,1,1,,False,False,True,False,False,False,True,False,False,False,True,False,False,False
183,68,HHMNMHZKVMIVM,39,143216577,0,100000000.0,149999999.0,9544802.0,9,3,1,1,,False,False,False,True,False,False,True,False,False,False,False,False,False,True
230,15,MKLPNKGRMRSOE,25,331724984,0,300000000.0,349999999.0,6108334.0,16,2,1,1,,False,True,True,False,False,False,True,False,False,True,False,False,False,False
260,14,BDSDGEHFZSALO,31,297505190,0,250000000.0,299999999.0,6643147.0,3,5,1,1,,False,True,True,False,False,False,False,False,False,False,True,False,False,False
280,14,HYHKUTZADCSXG,26,141622911,0,100000000.0,149999999.0,3293385.0,11,0,1,1,,False,True,False,False,False,True,False,False,False,False,False,False,False,True
303,54,AGCJAQAPHWQZP,42,199867534,0,150000000.0,199999999.0,7755065.0,21,4,1,1,,False,False,False,True,False,False,False,False,True,False,False,False,False,False
310,26,PZVSUKTFZJCVX,40,238538955,0,200000000.0,249999999.0,8982112.0,22,1,1,1,,False,True,False,False,False,False,True,False,False,False,False,False,True,False
343,44,FUTQCKOEYAMUB,32,132837877,0,100000000.0,149999999.0,4041861.0,5,0,1,1,,False,True,False,True,False,False,True,False,False,False,False,False,False,True
355,18,HQISUDKVOYOQW,37,138295634,0,100000000.0,149999999.0,9208174.0,6,3,1,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,True
